model,epsilon_training,epsilon_attack,accuracy_clean,accuracy_adversarial,accuracy_drop,asr
Originale,,0.0005,0.9118236472945892,0.8096192384769539,0.10220440881763526,0.11208791208791209
Adversarial Training FGSM,0.0005,0.0005,0.9328657314629258,0.8897795591182365,0.043086172344689366,0.04618689581095596
Adversarial Training FGSM,0.003,0.0005,0.9268537074148296,0.9138276553106213,0.013026052104208374,0.014054054054054054
Adversarial Training FGSM,0.01,0.0005,0.9268537074148296,0.9048096192384769,0.022044088176352727,0.023783783783783784
Originale,,0.001,0.9118236472945892,0.6893787575150301,0.22244488977955912,0.24395604395604395
Adversarial Training FGSM,0.0005,0.001,0.9328657314629258,0.8316633266533067,0.10120240480961917,0.10848549946294307
Adversarial Training FGSM,0.003,0.001,0.9268537074148296,0.8947895791583166,0.03206412825651306,0.034594594594594595
Adversarial Training FGSM,0.01,0.001,0.9268537074148296,0.8847695390781564,0.04208416833667328,0.04540540540540541
Originale,,0.003,0.9118236472945892,0.35971943887775554,0.5521042084168337,0.6054945054945055
Adversarial Training FGSM,0.0005,0.003,0.9328657314629258,0.6072144288577155,0.32565130260521036,0.34908700322234154
Adversarial Training FGSM,0.003,0.003,0.9268537074148296,0.7785571142284569,0.14829659318637278,0.16
Adversarial Training FGSM,0.01,0.003,0.9268537074148296,0.8166332665330661,0.11022044088176353,0.11891891891891893
Originale,,0.005,0.9118236472945892,0.23947895791583165,0.6723446893787576,0.7373626373626374
Adversarial Training FGSM,0.0005,0.005,0.9328657314629258,0.437875751503006,0.49498997995991983,0.5306122448979592
Adversarial Training FGSM,0.003,0.005,0.9268537074148296,0.6523046092184369,0.2745490981963927,0.29621621621621624
Adversarial Training FGSM,0.01,0.005,0.9268537074148296,0.7785571142284569,0.14829659318637278,0.16
Originale,,0.01,0.9118236472945892,0.14428857715430862,0.7675350701402806,0.8417582417582418
Adversarial Training FGSM,0.0005,0.01,0.9328657314629258,0.251503006012024,0.6813627254509018,0.7303974221267454
Adversarial Training FGSM,0.003,0.01,0.9268537074148296,0.43987975951903807,0.48697394789579157,0.5254054054054054
Adversarial Training FGSM,0.01,0.01,0.9268537074148296,0.7104208416833667,0.21643286573146292,0.23351351351351352
