model,epsilon_training,epsilon_attack,accuracy_clean,accuracy_adversarial,accuracy_drop,asr
Originale,,0.0005,0.9118236472945892,0.7855711422845691,0.12625250501002006,0.13846153846153847
Adversarial Training PGD,0.0005,0.0005,0.9378757515030061,0.8627254509018036,0.07515030060120242,0.08012820512820513
Adversarial Training PGD,0.003,0.0005,0.9278557114228457,0.9118236472945892,0.01603206412825653,0.017278617710583154
Adversarial Training PGD,0.01,0.0005,0.9038076152304609,0.8967935871743486,0.007014028056112287,0.007760532150776054
Originale,,0.001,0.9118236472945892,0.6002004008016032,0.311623246492986,0.34175824175824177
Adversarial Training PGD,0.0005,0.001,0.9378757515030061,0.7635270541082164,0.17434869739478964,0.1858974358974359
Adversarial Training PGD,0.003,0.001,0.9278557114228457,0.8907815631262525,0.03707414829659328,0.03995680345572354
Adversarial Training PGD,0.01,0.001,0.9038076152304609,0.8887775551102205,0.01503006012024044,0.01662971175166297
Originale,,0.003,0.9118236472945892,0.09719438877755511,0.814629258517034,0.8934065934065935
Adversarial Training PGD,0.0005,0.003,0.9378757515030061,0.281563126252505,0.656312625250501,0.6997863247863247
Adversarial Training PGD,0.003,0.003,0.9278557114228457,0.7635270541082164,0.1643286573146293,0.1771058315334773
Adversarial Training PGD,0.01,0.003,0.9038076152304609,0.8617234468937875,0.04208416833667339,0.04656319290465632
Originale,,0.005,0.9118236472945892,0.012024048096192385,0.8997995991983968,0.9868131868131869
Adversarial Training PGD,0.0005,0.005,0.9378757515030061,0.06913827655310621,0.8687374749498998,0.9262820512820513
Adversarial Training PGD,0.003,0.005,0.9278557114228457,0.6072144288577155,0.32064128256513025,0.34557235421166305
Adversarial Training PGD,0.01,0.005,0.9038076152304609,0.8096192384769539,0.094188376753507,0.10421286031042129
Originale,,0.01,0.9118236472945892,0.0,0.9118236472945892,1.0
Adversarial Training PGD,0.0005,0.01,0.9378757515030061,0.001002004008016032,0.9368737474949901,0.9989316239316239
Adversarial Training PGD,0.003,0.01,0.9278557114228457,0.25250501002004005,0.6753507014028057,0.7278617710583153
Adversarial Training PGD,0.01,0.01,0.9038076152304609,0.6663326653306614,0.23747494989979956,0.26274944567627495
