model,epsilon_training,epsilon_attack,accuracy_clean,accuracy_adversarial,accuracy_drop,asr,mean_l2,mean_linf,mean_queries
Originale,,0.0005,0.9118236472945892,0.9118236472945892,0.0,0.0,0.1894917272604429,0.000500023365020752,499.7274725274725
Adversarial Training Square,0.0005,0.0005,0.9278557114228457,0.9258517034068137,0.002004008016032066,0.0021598272138228943,0.18938753671831499,0.000500023365020752,499.0399568034557
Adversarial Training Square,0.003,0.0005,0.9258517034068137,0.9248496993987976,0.0010020040080160886,0.0010822510822510823,0.18945481560447,0.000500023365020752,499.5725108225108
Adversarial Training Square,0.01,0.0005,0.93687374749499,0.93687374749499,0.0,0.0,0.18941116766496138,0.000500023365020752,500.0
Originale,,0.001,0.9118236472945892,0.908817635270541,0.0030060120240481547,0.0032967032967032967,0.3789985961966462,0.0010000020265579224,498.47362637362636
Adversarial Training Square,0.0005,0.001,0.9278557114228457,0.9248496993987976,0.0030060120240481547,0.0032397408207343412,0.37878411222997543,0.0010000020265579224,498.5647948164147
Adversarial Training Square,0.003,0.001,0.9258517034068137,0.9238476953907816,0.002004008016032066,0.0021645021645021645,0.3789276390364676,0.0010000020265579224,499.0638528138528
Adversarial Training Square,0.01,0.001,0.93687374749499,0.935871743486974,0.0010020040080159776,0.0010695187165775401,0.3787211832515696,0.0010000020265579224,499.57754010695186
Originale,,0.003,0.9118236472945892,0.8997995991983968,0.012024048096192397,0.013186813186813187,1.1369400496011253,0.003000020980834961,495.0076923076923
Adversarial Training Square,0.0005,0.003,0.9278557114228457,0.9148296593186372,0.013026052104208485,0.014038876889848811,1.136234918886848,0.003000020980834961,494.9892008639309
Adversarial Training Square,0.003,0.003,0.9258517034068137,0.908817635270541,0.017034068136272618,0.0183982683982684,1.1366753702039842,0.003000020980834961,492.32683982683983
Adversarial Training Square,0.01,0.003,0.93687374749499,0.9288577154308617,0.008016032064128265,0.008556149732620321,1.1363777415637664,0.003000020980834961,495.99679144385027
Originale,,0.005,0.9118236472945892,0.8897795591182365,0.022044088176352727,0.024175824175824177,1.8905982300475404,0.005000025033950806,490.967032967033
Adversarial Training Square,0.0005,0.005,0.9278557114228457,0.908817635270541,0.019038076152304684,0.020518358531317494,1.8897190588339359,0.005000025033950806,491.69114470842334
Adversarial Training Square,0.003,0.005,0.9258517034068137,0.8957915831663327,0.030060120240480992,0.032467532467532464,1.8900403161069532,0.005000025033950806,486.9415584415584
Adversarial Training Square,0.01,0.005,0.93687374749499,0.9228456913827655,0.014028056112224463,0.014973262032085561,1.889201526335854,0.005000025033950806,494.0438502673797
Originale,,0.01,0.9118236472945892,0.8547094188376754,0.05711422845691383,0.06263736263736264,3.7659778930328707,0.010000020265579224,479.06373626373625
Adversarial Training Square,0.0005,0.01,0.9278557114228457,0.8787575150300602,0.049098196392785565,0.052915766738660906,3.763080446560491,0.010000020265579224,482.45896328293736
Adversarial Training Square,0.003,0.01,0.9258517034068137,0.8637274549098196,0.06212424849699405,0.0670995670995671,3.7640405299859645,0.010000020265579224,477.0779220779221
Adversarial Training Square,0.01,0.01,0.93687374749499,0.9008016032064128,0.03607214428857719,0.038502673796791446,3.762631143988135,0.010000020265579224,486.7422459893048
