attack,setting,source_model,target_model,epsilon,alpha,num_steps,overshoot,max_iter,source_clean_accuracy,target_clean_accuracy,source_adv_accuracy,target_adv_accuracy,source_accuracy_drop,target_accuracy_drop,source_asr,transfer_asr,mean_l2,mean_linf,time_s
FGSM,black-box transfer,ResNet18,MobileNetV2,0.0005,,,,,0.9118236472945892,0.9308617234468938,0.8096192384769539,0.9258517034068137,0.10220440881763526,0.00501002004008011,0.11208791208791209,0.0011350737797956867,0.1894830333923768,0.000500023365020752,1.4094908237457275
FGSM,black-box transfer,ResNet18,MobileNetV2,0.001,,,,,0.9118236472945892,0.9308617234468938,0.6893787575150301,0.9228456913827655,0.22244488977955912,0.008016032064128265,0.24395604395604395,0.00340522133938706,0.378954694839661,0.0010000020265579224,0.9256255626678467
FGSM,black-box transfer,ResNet18,MobileNetV2,0.003,,,,,0.9118236472945892,0.9308617234468938,0.35971943887775554,0.906813627254509,0.5521042084168337,0.024048096192384794,0.6054945054945055,0.015891032917139614,1.1368784464910657,0.003000020980834961,1.431117057800293
FGSM,black-box transfer,ResNet18,MobileNetV2,0.005,,,,,0.9118236472945892,0.9308617234468938,0.23947895791583165,0.8817635270541082,0.6723446893787576,0.049098196392785565,0.7373626373626374,0.03745743473325766,1.8904913823924705,0.005000025033950806,0.9755861759185791
FGSM,black-box transfer,ResNet18,MobileNetV2,0.01,,,,,0.9118236472945892,0.9308617234468938,0.14428857715430862,0.8236472945891784,0.7675350701402806,0.10721442885771537,0.8417582417582418,0.08740068104426787,3.7652942508399367,0.010000020265579224,1.4778244495391846
PGD,black-box transfer,ResNet18,MobileNetV2,0.0005,0.000125,10.0,,,0.9118236472945892,0.9308617234468938,0.7865731462925851,0.9248496993987976,0.12525050100200408,0.006012024048096198,0.13736263736263737,0.0022701475595913734,0.1795821019069465,0.000500023365020752,4.191143035888672
PGD,black-box transfer,ResNet18,MobileNetV2,0.001,0.00025,10.0,,,0.9118236472945892,0.9308617234468938,0.6022044088176353,0.9208416833667334,0.30961923847695394,0.01002004008016033,0.3395604395604396,0.0056753688989784334,0.3507719020805282,0.0010000020265579224,3.804668426513672
PGD,black-box transfer,ResNet18,MobileNetV2,0.003,0.00075,10.0,,,0.9118236472945892,0.9308617234468938,0.09619238476953908,0.9008016032064128,0.8156312625250501,0.030060120240480992,0.8945054945054945,0.02043132803632236,0.9854290547495137,0.003000020980834961,4.237295150756836
PGD,black-box transfer,ResNet18,MobileNetV2,0.005,0.00125,10.0,,,0.9118236472945892,0.9308617234468938,0.012024048096192385,0.8837675350701403,0.8997995991983968,0.0470941883767535,0.9868131868131869,0.03518728717366629,1.5625397418448348,0.005000025033950806,3.823565721511841
PGD,black-box transfer,ResNet18,MobileNetV2,0.01,0.0025,10.0,,,0.9118236472945892,0.9308617234468938,0.0,0.8266533066132264,0.9118236472945892,0.10420841683366733,1.0,0.08853575482406356,2.8733023374018547,0.010000020265579224,4.347757816314697
DeepFool,black-box transfer,ResNet18,MobileNetV2,,,,0.02,50.0,0.9118236472945892,0.9308617234468938,0.07515030060120241,0.9268537074148296,0.8366733466933868,0.004008016032064132,0.9703296703296703,0.004540295119182747,0.4062607945325618,0.01601552068888544,39.86743378639221
